epoch,train_loss,eval_loss
2.2640000000000002,1.6395,
2.268,1.6373,
2.2720000000000002,1.615,
2.276,1.6968,
2.2800000000000002,1.6351,
2.284,1.6437,
2.288,1.6616,
2.292,1.696,
2.296,1.6289,
2.3,1.6156,
2.304,1.6831,
2.308,1.6364,
2.312,1.629,
2.316,1.6196,
2.32,1.6138,
2.324,1.6397,
2.328,1.5528,
2.332,1.604,
2.336,1.6418,
2.34,1.6871,
2.344,1.6294,
2.348,1.5924,
2.352,1.619,
2.356,1.6201,
2.36,1.621,
2.364,1.6893,
2.368,1.6427,
2.372,1.7224,
2.376,1.6305,
2.38,1.5861,
2.384,1.606,
2.388,1.6242,
2.392,1.6237,
2.396,1.7182,
2.4,1.6392,
2.404,1.6066,
2.408,1.7252,
2.412,1.6036,
2.416,1.6333,
2.42,1.6483,
2.424,1.7519,
2.428,1.6073,
2.432,1.6003,
2.436,1.6341,
2.44,1.6319,
2.444,1.7349,
2.448,1.6807,
2.452,1.5594,
2.456,1.6535,
2.46,1.6375,
2.464,1.5891,
2.468,1.5721,
2.472,1.6076,
2.476,1.6532,
2.48,1.6289,
2.484,1.611,
2.488,1.6188,
2.492,1.6564,
2.496,1.641,
2.5,1.6359,
2.504,1.6032,
2.508,1.6946,
2.512,1.6558,
2.516,1.6419,
2.52,1.608,
2.524,1.5852,
2.528,1.727,
2.532,1.5781,
2.536,1.6056,
2.54,1.6849,
2.544,1.6491,
2.548,1.6894,
2.552,1.6523,
2.556,1.6348,
2.56,1.673,
2.564,1.5985,
2.568,1.6193,
2.572,1.5971,
2.576,1.6552,
2.58,1.6615,
2.584,1.5586,
2.588,1.6174,
2.592,1.5607,
2.596,1.6444,
2.6,1.6415,
2.604,1.6404,
2.608,1.6592,
2.612,1.6161,
2.616,1.5623,
2.62,1.5775,
2.624,1.6335,
2.628,1.6374,
2.632,1.6544,
2.636,1.6929,
2.64,1.579,
2.644,1.6574,
2.648,1.7105,
2.652,1.5843,
2.656,1.6585,
2.66,1.6767,
2.664,1.6921,
2.668,1.6525,
2.672,1.6418,
2.676,1.6211,
2.68,1.6747,
2.684,1.6513,
2.6879999999999997,1.591,
2.692,1.6288,
2.6959999999999997,1.701,
2.7,1.66,
2.7039999999999997,1.6934,
2.708,1.6656,
2.7119999999999997,1.6869,
2.716,1.5925,
